Year,Brand Name,Generic Name,Application Number,SPL Set ID,Review Document URL,Review Document Title
1984,POTASSIUM ACETATE,POTASSIUM ACETATE,NDA018896,c58f8112-d587-493a-91b7-2b48c80bb7bf,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/18896Orig1s012.pdf,
1984,POTASSIUM ACETATE,POTASSIUM ACETATE,NDA018896,c58f8112-d587-493a-91b7-2b48c80bb7bf,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/18896Orig1s011.pdf,
2015,SAVAYSA,EDOXABAN TOSYLATE,NDA206316,e77d3400-56ad-11e3-949a-0800200c9a66,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/206316Orig1Orig2s000TOC.cfm,
2015,SAVAYSA,EDOXABAN TOSYLATE,NDA206316,e77d3400-56ad-11e3-949a-0800200c9a66,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/206316Orig1Orig2s000SumR.pdf,
2013,UMECLIDINIUM AND VILANTEROL ELLIPTA,UMECLIDINIUM BROMIDE AND VILANTEROL TRIFENATATE,NDA203975,6de414b1-f707-4b98-9e4b-742032ec90af,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/203975Orig1s000TOC.cfm,
2013,UMECLIDINIUM AND VILANTEROL ELLIPTA,UMECLIDINIUM BROMIDE AND VILANTEROL TRIFENATATE,NDA203975,6de414b1-f707-4b98-9e4b-742032ec90af,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/203975Orig1s000SumR.pdf,
2014,TRIUMEQ,"ABACAVIR SULFATE, DOLUTEGRAVIR SODIUM, LAMIVUDINE",NDA205551,2997739a-aa91-42aa-a206-a70e2db7b84f,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205551Orig1s000TOC.cfm,
2014,TRIUMEQ,"ABACAVIR SULFATE, DOLUTEGRAVIR SODIUM, LAMIVUDINE",NDA205551,2997739a-aa91-42aa-a206-a70e2db7b84f,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/209_205551S11_clinical prea.pdf,
2014,TRIUMEQ,"ABACAVIR SULFATE, DOLUTEGRAVIR SODIUM, LAMIVUDINE",NDA205551,2997739a-aa91-42aa-a206-a70e2db7b84f,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/210_205551S11_clinpharm prea.pdf,
2017,GLEOLAN,AMINOLEVULINIC ACID HYDROCHLORIDE,NDA208630,4873911e-a5d7-47e3-9679-fa5c95999323,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208630Orig1s000TOC.cfm,
2018,BRYHALI,HALOBETASOL PROPIONATE,NDA209355,d4bbb66a-3f9d-4091-b1b0-1cbc908432d3,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/209355Orig1s000TOC.cfm,
1993,OMNISCAN,GADODIAMIDE,NDA020123,1e9a37e2-f28a-4373-bf0f-3e9b60f42d8a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020123_s015.pdf,
2019,SOVALDI,SOFOSBUVIR,NDA212480,80beab2c-396e-4a37-a4dc-40fdb62859cf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/212480Orig1s000TOC.cfm,
2020,N/A,N/A,NDA212860,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/212860Orig1s000TOC.cfm,
2021,N/A,N/A,NDA215358,N/A,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/215358Orig1s008TOC.cfm,
2021,N/A,N/A,NDA215358,N/A,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/215358Orig1s000,Orig2s000TOC.cfm",
2011,N/A,N/A,NDA022494,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/022494Orig1s000TOC.cfm,
2011,N/A,N/A,NDA022494,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/022494Orig1s000SumR.pdf,
2022,REZVOGLAR KWIKPEN,INSULIN GLARGINE-AGLR,BLA761215,f6af8706-2058-4fe1-99c8-43684c20bfa2,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/761215Orig2s000TOC.cfm,
2022,REZVOGLAR KWIKPEN,INSULIN GLARGINE-AGLR,BLA761215,f6af8706-2058-4fe1-99c8-43684c20bfa2,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/761215Orig1s000TOC.cfm,
1999,N/A,N/A,NDA021040,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/021040_s000_OrthoPrefestTOC.cfm,
2003,N/A,N/A,NDA021371,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/21-371_Estrasorb.cfm,
2005,N/A,N/A,NDA021726,N/A,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021726s000_NiravamTOC.cfm,
2009,VECTICAL,CALCITRIOL,NDA022087,a1567da9-af74-4afd-9ac5-8b53ec5d7cbf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/022087s000_SumR.pdf,
