committee,year,meeting_date,meeting_title,document_name,url,is_pdf,file_size
Anesthetic and Analgesic Drug Products Advisory Committee,2017,2017-04-05,"April 5, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","UPDATED PUBLIC PARTICIPATION INFORMATION: April 5, 2017: Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee and the Drug Safety and Risk Management Advisory Committee Meeting Announcement",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/AdvisoryCommittees/Calendar/ucm546576.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2017,2017-04-05,"April 5, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Draft Agenda for the April 5, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM550010.pdf,True,29KB
Anesthetic and Analgesic Drug Products Advisory Committee,2017,2017-04-05,"April 5, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Draft Questions for the April 5, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM550011.pdf,True,18KB
Anesthetic and Analgesic Drug Products Advisory Committee,2017,2017-04-05,"April 5, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Draft Meeting Roster for the April 5, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM550012.pdf,True,46KB
Anesthetic and Analgesic Drug Products Advisory Committee,2017,2017-04-05,"April 5, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Anesthetic and Analgesic Drug Products Advisory Committee Roster for the April 5, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM550014.pdf,True,24KB
Anesthetic and Analgesic Drug Products Advisory Committee,2017,2017-04-05,"April 5, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Drug Safety and Risk Management Advisory Committee Roster for the April 5, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM550015.pdf,True,25KB
Anesthetic and Analgesic Drug Products Advisory Committee,2017,2017-04-05,"April 5, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Briefing Information for the April 5, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/ucm550016.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2017,,"March 13-14, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee",UPDATED MEETING TIME AND PUBLIC PARTICIPATION INFORMATION: Joint Meeting of the Drug Safety and Risk Management Advisory Committee and the Anesthetic and Analgesic Drug Products Advisory Committee,https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/AdvisoryCommittees/Calendar/ucm536620.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2017,,"March 13-14, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Anesthetic and Analgesic Drug Products Advisory Committee Roster for the March 13-14, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM545756.pdf,True,27KB
Anesthetic and Analgesic Drug Products Advisory Committee,2017,,"March 13-14, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Drug Safety and Risk Management Advisory Committee Roster for the March 13-14, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM545757.pdf,True,29KB
Anesthetic and Analgesic Drug Products Advisory Committee,2017,,"March 13-14, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Briefing Information for the March 13-14, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/ucm545759.htm,False,
Anesthetic and Analgesic Drug Products Advisory Committee,2017,,"March 13-14, 2017 Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee","Webcast Information for the March 13-14, 2017 Joint Meeting of the Anesthetic and Analgesic Drug Products Advisory Committee (AADPAC) and the Drug Safety and Risk Management Advisory Committee (DSaRM)",https://wayback.archive-it.org/7993/20170403223402/https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/UCM545758.pdf,True,66KB
